no,fecha,to,to_cambio,haw_dov
1,08/02/2018,7.5,0.25,2.025
2,12/04/2018,7.5,0.0,1.4427860696517414
3,17/05/2018,7.5,0.0,1.7298850574712643
4,21/06/2018,7.75,0.25,1.822085889570552
5,02/08/2018,7.75,0.0,1.782857142857143
6,04/10/2018,7.75,0.0,2.237410071942446
7,15/11/2018,8.0,0.25,1.7037037037037037
8,20/12/2018,8.25,0.25,1.3559322033898304
9,07/02/2019,8.25,0.0,1.1666666666666667
10,28/03/2019,8.25,0.0,1.1703703703703703
11,16/05/2019,8.25,0.0,1.448
12,27/06/2019,8.25,0.0,0.9682539682539683
13,15/08/2019,8.0,-0.25,0.9039039039039038
14,26/09/2019,7.75,-0.25,0.8211920529801324
15,14/11/2019,7.5,-0.25,1.0
16,19/12/2019,7.25,-0.25,1.1025641025641026
17,13/02/2020,7.0,-0.25,1.0895522388059702
18,20/03/2020,6.5,-0.5,0.793233082706767
19,21/04/2020,6.0,-0.5,0.6989247311827957
20,14/05/2020,5.5,-0.5,0.735593220338983
21,25/06/2020,5.0,-0.5,0.8131868131868132
22,13/08/2020,4.5,-0.5,1.1611570247933884
23,24/09/2020,4.25,-0.25,1.3121951219512196
24,12/11/2020,4.25,0.0,0.9887218045112782
25,17/12/2020,4.25,0.0,1.0470588235294118
26,11/02/2021,4.0,-0.25,1.1926605504587156
27,25/04/2021,4.0,0.0,1.7538461538461538
28,13/05/2021,4.0,0.0,1.6310679611650485
29,24/06/2021,4.25,0.25,2.2356687898089174
30,12/08/2021,4.5,0.25,2.1481481481481484
31,30/09/2021,4.75,0.25,2.089005235602094
32,11/11/2021,5.0,0.25,2.0625
33,16/12/2021,5.5,0.5,2.3058823529411763
34,10/02/2022,6.0,0.5,2.2958579881656807
35,24/03/2022,6.5,0.5,2.140449438202247
36,12/05/2026,7.0,0.5,2.5294117647058822
37,23/06/2022,7.75,0.75,2.52258064516129
38,11/08/2022,8.5,0.75,2.1284916201117317
39,29/09/2022,9.25,0.75,2.66875
40,10/11/2022,10.0,0.75,2.1686746987951806
41,15/12/2022,10.5,0.5,1.597938144329897
42,09/02/2023,11.0,0.5,1.884393063583815
43,30/03/2023,11.25,0.25,2.16969696969697
44,18/05/2023,11.25,0.0,1.558659217877095
45,22/06/2023,11.25,0.0,1.6649484536082475
46,10/08/2023,11.25,0.0,1.7382198952879582
47,28/09/2023,11.25,0.0,2.1104294478527605
48,09/11/2023,11.25,0.0,1.8538011695906433
49,14/12/2023,11.25,0.0,1.6067415730337078
50,08/02/2024,11.25,0.0,1.510752688172043
